Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.783197	5.8096867	50.0	4.0	10.783197	0.07768826	0.01022433	0.12394368	-0.028366938	4000	-7.0780516e-08	77.03431	-0.019304449	-49.24742	0.91893846	0.017122183	0.16675	8.0	0.9331386089324951
1	12.395638	6.718356	52.0	4.0	12.395638	6.6303954	0.29874614	7.0594115	4.0944147	8000	-6.7520887e-09	36.124138	-0.019859008	-5.1044874	0.9165927	0.017599175	0.17325	9.0	1.859008550643921
2	15.4375	9.560049	70.0	4.0	15.4375	7.8635993	0.86933416	8.785202	3.1502635	12000	3.7252903e-09	68.13997	-0.017768003	-10.259691	0.9139527	0.015498958	0.1715	11.0	2.7549266815185547
3	19.435644	10.669115	57.0	6.0	19.435644	10.348106	2.1251779	12.184606	1.0309118	16000	3.4924597e-10	71.87805	-0.01746756	-7.1320763	0.91067284	0.015688457	0.18274999	14.0	3.618741989135742
4	24.372671	13.816823	69.0	6.0	24.372671	12.031119	2.4890587	14.519911	-0.42401385	20000	-3.1664968e-08	104.19983	-0.018286403	-19.428362	0.90659964	0.015306702	0.15675	13.0	4.514886140823364
5	35.0	20.005356	98.0	9.0	35.0	14.267506	3.8575573	17.87732	-0.23574127	24000	-7.450581e-09	185.94228	-0.0155754695	-39.73385	0.9030551	0.015502352	0.1495	15.0	5.372030258178711
6	50.986843	26.473667	173.0	9.0	50.986843	20.01883	5.3739257	24.714445	-0.1846973	28000	0.0	270.152	-0.018284269	-63.724506	0.89814395	0.0044820365	0.070999995	79.0	6.612321615219116
7	56.863636	25.374102	132.0	14.0	56.863636	24.879055	7.5257974	31.90857	-0.7727144	32000	0.0	205.55096	-0.017784879	-35.353428	0.8901827	0.012533349	0.10250001	79.0	7.941031217575073
8	107.20588	46.367954	257.0	20.0	107.20588	29.780874	8.055042	37.569157	-0.783247	36000	1.6763806e-08	588.003	-0.012087369	-240.11615	0.88042676	0.0064574955	0.066750005	79.0	9.092425346374512
9	135.62962	74.44817	344.0	45.0	135.62962	40.961353	12.166393	48.9807	2.8438826	40000	-2.6077032e-08	482.83606	-0.015173877	-154.28362	0.85835797	0.009979258	0.11125	79.0	10.30219316482544
10	440.875	327.137	1000.0	98.0	440.875	52.82617	9.845762	57.802853	4.93968	44000	6.519258e-08	1264.0558	-0.011297809	-695.807	0.8630502	0.001478678	0.063	79.0	11.46223759651184
11	880.75	206.54706	1000.0	523.0	880.75	71.40493	4.708838	72.32465	5.0821857	48000	-1.15484e-07	614.2189	-0.0074515506	-359.1784	0.84760594	0.017811842	0.1895	4.0	12.36188530921936
12	804.0	339.48196	1000.0	216.0	804.0	82.53545	0.17544861	82.6239	80.52437	52000	-6.3329935e-08	304.29877	-0.0046215467	-127.11285	0.84709185	0.0063429615	0.0715	79.0	13.522002696990967
13	742.25	261.8782	1000.0	419.0	742.25	88.56714	1.0555518	88.66348	46.84264	56000	-7.450581e-09	238.10576	-0.001874134	-82.448395	0.844287	0.015461532	0.18924999	7.0	14.382996082305908
14	555.5	289.41364	1000.0	207.0	555.5	89.3128	9.689816	91.66709	5.8855176	60000	3.7252903e-09	169.2396	-0.008397252	-16.810709	0.8444033	0.018946435	0.25199997	4.0	15.210936069488525
15	1000.0	0.0	1000.0	1000.0	1000.0	93.35036	0.2119397	93.4001	87.31137	64000	-4.8149377e-07	37.69654	-0.0060524503	-25.492748	0.8443353	0.0020961217	0.040749997	79.0	16.361260652542114
16	1000.0	0.0	1000.0	1000.0	1000.0	96.15595	0.044226035	96.16999	95.11843	68000	-2.2060703e-08	12.584756	-0.0018819638	-9.030189	0.83678466	0.01501756	0.206	7.0	17.19833540916443
17	1000.0	0.0	1000.0	1000.0	1000.0	97.892876	0.08393105	97.92521	96.245255	72000	7.7299774e-08	3.7917075	-0.008919381	-2.7879415	0.8359766	0.017355239	0.2645	4.0	17.991716146469116
18	1000.0	0.0	1000.0	1000.0	1000.0	98.906685	0.10845689	98.92181	93.73981	76000	-9.336509e-08	1.0255744	-0.0015176439	-0.76116276	0.8353155	0.015501771	0.16649999	12.0	18.869300842285156
19	797.2	350.93784	1000.0	101.0	797.2	99.44959	0.017789401	99.45661	98.90775	80000	-7.450581e-09	225.86444	-0.007742189	-9.531754	0.83390045	0.006499083	0.096	79.0	20.106921195983887
20	1000.0	0.0	1000.0	1000.0	1000.0	97.62649	0.036989596	97.63864	96.79393	84000	2.705492e-07	4.800543	-0.0025799405	-3.3857064	0.83454984	0.005828444	0.0595	79.0	21.275352954864502
21	1000.0	0.0	1000.0	1000.0	1000.0	98.69039	0.028187174	98.69832	98.013985	88000	5.327165e-07	1.4612575	-0.0023976518	-1.1668944	0.83106154	0.0016472854	0.01375	79.0	22.676943063735962
22	1000.0	0.0	1000.0	1000.0	1000.0	99.40366	0.014623969	99.40927	99.08277	92000	-1.1664815e-07	0.3030913	-0.003042548	-0.24630955	0.80827636	0.0024280553	0.0255	79.0	24.025954008102417
